,onetsoc_code,element_id,scale_id,data_value
0,11-1011.00,1.A.1.a.1_IM,IM,4.5
1,11-1011.00,1.A.1.a.1_LV,LV,4.88
2,11-1011.00,1.A.1.a.2_IM,IM,4.25
3,11-1011.00,1.A.1.a.2_LV,LV,4.62
4,11-1011.00,1.A.1.a.3_IM,IM,4.38
5,11-1011.00,1.A.1.a.3_LV,LV,5.0
6,11-1011.00,1.A.1.a.4_IM,IM,4.12
7,11-1011.00,1.A.1.a.4_LV,LV,4.62
8,11-1011.00,1.A.1.b.1_IM,IM,3.88
9,11-1011.00,1.A.1.b.1_LV,LV,4.62
10,11-1011.00,1.A.1.b.2_IM,IM,3.88
11,11-1011.00,1.A.1.b.2_LV,LV,4.25
12,11-1011.00,1.A.1.b.3_IM,IM,4.0
13,11-1011.00,1.A.1.b.3_LV,LV,5.0
14,11-1011.00,1.A.1.b.4_IM,IM,4.12
15,11-1011.00,1.A.1.b.4_LV,LV,5.0
16,11-1011.00,1.A.1.b.5_IM,IM,4.0
17,11-1011.00,1.A.1.b.5_LV,LV,5.0
18,11-1011.00,1.A.1.b.6_IM,IM,3.62
19,11-1011.00,1.A.1.b.6_LV,LV,4.0
20,11-1011.00,1.A.1.b.7_IM,IM,3.5
21,11-1011.00,1.A.1.b.7_LV,LV,4.12
22,11-1011.00,1.A.1.c.1_IM,IM,3.38
23,11-1011.00,1.A.1.c.1_LV,LV,3.88
24,11-1011.00,1.A.1.c.2_IM,IM,3.25
25,11-1011.00,1.A.1.c.2_LV,LV,4.12
26,11-1011.00,1.A.1.d.1_IM,IM,3.0
27,11-1011.00,1.A.1.d.1_LV,LV,3.12
28,11-1011.00,1.A.1.e.1_IM,IM,3.12
29,11-1011.00,1.A.1.e.1_LV,LV,3.38
30,11-1011.00,1.A.1.e.2_IM,IM,3.38
31,11-1011.00,1.A.1.e.2_LV,LV,3.5
32,11-1011.00,1.A.1.e.3_IM,IM,3.12
33,11-1011.00,1.A.1.e.3_LV,LV,2.88
34,11-1011.00,1.A.1.f.1_IM,IM,1.12
35,11-1011.00,1.A.1.f.1_LV,LV,0.12
36,11-1011.00,1.A.1.f.2_IM,IM,3.12
37,11-1011.00,1.A.1.f.2_LV,LV,3.88
38,11-1011.00,1.A.1.g.1_IM,IM,3.0
39,11-1011.00,1.A.1.g.1_LV,LV,3.12
40,11-1011.00,1.A.1.g.2_IM,IM,3.0
41,11-1011.00,1.A.1.g.2_LV,LV,2.88
42,11-1011.00,1.A.2.a.1_IM,IM,1.0
43,11-1011.00,1.A.2.a.1_LV,LV,0.0
44,11-1011.00,1.A.2.a.2_IM,IM,1.0
45,11-1011.00,1.A.2.a.2_LV,LV,0.0
46,11-1011.00,1.A.2.a.3_IM,IM,2.25
47,11-1011.00,1.A.2.a.3_LV,LV,2.0
48,11-1011.00,1.A.2.b.1_IM,IM,1.75
49,11-1011.00,1.A.2.b.1_LV,LV,1.12
50,11-1011.00,1.A.2.b.2_IM,IM,1.75
51,11-1011.00,1.A.2.b.2_LV,LV,0.88
52,11-1011.00,1.A.2.b.3_IM,IM,1.0
53,11-1011.00,1.A.2.b.3_LV,LV,0.0
54,11-1011.00,1.A.2.b.4_IM,IM,1.0
55,11-1011.00,1.A.2.b.4_LV,LV,0.0
56,11-1011.00,1.A.2.c.1_IM,IM,1.0
57,11-1011.00,1.A.2.c.1_LV,LV,0.0
58,11-1011.00,1.A.2.c.2_IM,IM,1.0
59,11-1011.00,1.A.2.c.2_LV,LV,0.0
60,11-1011.00,1.A.2.c.3_IM,IM,1.0
61,11-1011.00,1.A.2.c.3_LV,LV,0.0
62,11-1011.00,1.A.3.a.1_IM,IM,1.0
63,11-1011.00,1.A.3.a.1_LV,LV,0.0
64,11-1011.00,1.A.3.a.2_IM,IM,1.0
65,11-1011.00,1.A.3.a.2_LV,LV,0.0
66,11-1011.00,1.A.3.a.3_IM,IM,1.0
67,11-1011.00,1.A.3.a.3_LV,LV,0.0
68,11-1011.00,1.A.3.a.4_IM,IM,1.0
69,11-1011.00,1.A.3.a.4_LV,LV,0.0
70,11-1011.00,1.A.3.b.1_IM,IM,1.0
71,11-1011.00,1.A.3.b.1_LV,LV,0.0
72,11-1011.00,1.A.3.c.1_IM,IM,1.0
73,11-1011.00,1.A.3.c.1_LV,LV,0.0
74,11-1011.00,1.A.3.c.2_IM,IM,1.0
75,11-1011.00,1.A.3.c.2_LV,LV,0.0
76,11-1011.00,1.A.3.c.3_IM,IM,1.0
77,11-1011.00,1.A.3.c.3_LV,LV,0.0
78,11-1011.00,1.A.3.c.4_IM,IM,1.0
79,11-1011.00,1.A.3.c.4_LV,LV,0.0
80,11-1011.00,1.A.4.a.1_IM,IM,3.88
81,11-1011.00,1.A.4.a.1_LV,LV,4.5
82,11-1011.00,1.A.4.a.2_IM,IM,3.0
83,11-1011.00,1.A.4.a.2_LV,LV,3.12
84,11-1011.00,1.A.4.a.3_IM,IM,1.88
85,11-1011.00,1.A.4.a.3_LV,LV,1.62
86,11-1011.00,1.A.4.a.4_IM,IM,1.0
87,11-1011.00,1.A.4.a.4_LV,LV,0.0
88,11-1011.00,1.A.4.a.5_IM,IM,1.0
89,11-1011.00,1.A.4.a.5_LV,LV,0.0
90,11-1011.00,1.A.4.a.6_IM,IM,1.75
91,11-1011.00,1.A.4.a.6_LV,LV,1.5
92,11-1011.00,1.A.4.a.7_IM,IM,1.0
93,11-1011.00,1.A.4.a.7_LV,LV,0.0
94,11-1011.00,1.A.4.b.1_IM,IM,1.75
95,11-1011.00,1.A.4.b.1_LV,LV,1.5
96,11-1011.00,1.A.4.b.2_IM,IM,2.12
97,11-1011.00,1.A.4.b.2_LV,LV,2.12
98,11-1011.00,1.A.4.b.3_IM,IM,1.0
99,11-1011.00,1.A.4.b.3_LV,LV,0.0
100,11-1011.00,1.A.4.b.4_IM,IM,4.12
101,11-1011.00,1.A.4.b.4_LV,LV,4.62
102,11-1011.00,1.A.4.b.5_IM,IM,4.12
103,11-1011.00,1.A.4.b.5_LV,LV,4.88
104,11-1011.03,1.A.1.a.1_IM,IM,4.0
105,11-1011.03,1.A.1.a.1_LV,LV,4.5
106,11-1011.03,1.A.1.a.2_IM,IM,4.0
107,11-1011.03,1.A.1.a.2_LV,LV,4.38
108,11-1011.03,1.A.1.a.3_IM,IM,4.0
109,11-1011.03,1.A.1.a.3_LV,LV,4.62
110,11-1011.03,1.A.1.a.4_IM,IM,3.88
111,11-1011.03,1.A.1.a.4_LV,LV,4.38
112,11-1011.03,1.A.1.b.1_IM,IM,3.62
113,11-1011.03,1.A.1.b.1_LV,LV,4.12
114,11-1011.03,1.A.1.b.2_IM,IM,3.62
115,11-1011.03,1.A.1.b.2_LV,LV,4.0
116,11-1011.03,1.A.1.b.3_IM,IM,3.88
117,11-1011.03,1.A.1.b.3_LV,LV,4.25
118,11-1011.03,1.A.1.b.4_IM,IM,4.0
119,11-1011.03,1.A.1.b.4_LV,LV,4.5
120,11-1011.03,1.A.1.b.5_IM,IM,4.0
121,11-1011.03,1.A.1.b.5_LV,LV,4.25
122,11-1011.03,1.A.1.b.6_IM,IM,3.5
123,11-1011.03,1.A.1.b.6_LV,LV,3.62
124,11-1011.03,1.A.1.b.7_IM,IM,3.38
125,11-1011.03,1.A.1.b.7_LV,LV,3.62
126,11-1011.03,1.A.1.c.1_IM,IM,2.88
127,11-1011.03,1.A.1.c.1_LV,LV,3.25
128,11-1011.03,1.A.1.c.2_IM,IM,2.75
129,11-1011.03,1.A.1.c.2_LV,LV,3.25
130,11-1011.03,1.A.1.d.1_IM,IM,2.25
131,11-1011.03,1.A.1.d.1_LV,LV,2.5
132,11-1011.03,1.A.1.e.1_IM,IM,2.38
133,11-1011.03,1.A.1.e.1_LV,LV,2.62
134,11-1011.03,1.A.1.e.2_IM,IM,3.0
135,11-1011.03,1.A.1.e.2_LV,LV,3.0
136,11-1011.03,1.A.1.e.3_IM,IM,2.38
137,11-1011.03,1.A.1.e.3_LV,LV,2.38
138,11-1011.03,1.A.1.f.1_IM,IM,1.25
139,11-1011.03,1.A.1.f.1_LV,LV,0.25
140,11-1011.03,1.A.1.f.2_IM,IM,2.75
141,11-1011.03,1.A.1.f.2_LV,LV,3.12
142,11-1011.03,1.A.1.g.1_IM,IM,2.88
143,11-1011.03,1.A.1.g.1_LV,LV,2.75
144,11-1011.03,1.A.1.g.2_IM,IM,2.62
145,11-1011.03,1.A.1.g.2_LV,LV,2.38
146,11-1011.03,1.A.2.a.1_IM,IM,1.0
147,11-1011.03,1.A.2.a.1_LV,LV,0.0
148,11-1011.03,1.A.2.a.2_IM,IM,1.0
149,11-1011.03,1.A.2.a.2_LV,LV,0.0
150,11-1011.03,1.A.2.a.3_IM,IM,2.25
151,11-1011.03,1.A.2.a.3_LV,LV,2.0
152,11-1011.03,1.A.2.b.1_IM,IM,1.75
153,11-1011.03,1.A.2.b.1_LV,LV,1.25
154,11-1011.03,1.A.2.b.2_IM,IM,1.62
155,11-1011.03,1.A.2.b.2_LV,LV,1.0
156,11-1011.03,1.A.2.b.3_IM,IM,1.12
157,11-1011.03,1.A.2.b.3_LV,LV,0.12
158,11-1011.03,1.A.2.b.4_IM,IM,1.12
159,11-1011.03,1.A.2.b.4_LV,LV,0.25
160,11-1011.03,1.A.2.c.1_IM,IM,1.25
161,11-1011.03,1.A.2.c.1_LV,LV,0.38
162,11-1011.03,1.A.2.c.2_IM,IM,1.12
163,11-1011.03,1.A.2.c.2_LV,LV,0.12
164,11-1011.03,1.A.2.c.3_IM,IM,1.0
165,11-1011.03,1.A.2.c.3_LV,LV,0.0
166,11-1011.03,1.A.3.a.1_IM,IM,1.0
167,11-1011.03,1.A.3.a.1_LV,LV,0.0
168,11-1011.03,1.A.3.a.2_IM,IM,1.0
169,11-1011.03,1.A.3.a.2_LV,LV,0.0
170,11-1011.03,1.A.3.a.3_IM,IM,1.0
171,11-1011.03,1.A.3.a.3_LV,LV,0.0
172,11-1011.03,1.A.3.a.4_IM,IM,1.12
173,11-1011.03,1.A.3.a.4_LV,LV,0.25
174,11-1011.03,1.A.3.b.1_IM,IM,1.0
175,11-1011.03,1.A.3.b.1_LV,LV,0.0
176,11-1011.03,1.A.3.c.1_IM,IM,1.0
177,11-1011.03,1.A.3.c.1_LV,LV,0.0
178,11-1011.03,1.A.3.c.2_IM,IM,1.0
179,11-1011.03,1.A.3.c.2_LV,LV,0.0
180,11-1011.03,1.A.3.c.3_IM,IM,1.0
181,11-1011.03,1.A.3.c.3_LV,LV,0.0
182,11-1011.03,1.A.3.c.4_IM,IM,1.0
183,11-1011.03,1.A.3.c.4_LV,LV,0.0
184,11-1011.03,1.A.4.a.1_IM,IM,3.38
185,11-1011.03,1.A.4.a.1_LV,LV,3.5
186,11-1011.03,1.A.4.a.2_IM,IM,2.62
187,11-1011.03,1.A.4.a.2_LV,LV,2.75
188,11-1011.03,1.A.4.a.3_IM,IM,2.0
189,11-1011.03,1.A.4.a.3_LV,LV,1.62
190,11-1011.03,1.A.4.a.4_IM,IM,1.0
191,11-1011.03,1.A.4.a.4_LV,LV,0.0
192,11-1011.03,1.A.4.a.5_IM,IM,1.0
193,11-1011.03,1.A.4.a.5_LV,LV,0.0
194,11-1011.03,1.A.4.a.6_IM,IM,2.0
195,11-1011.03,1.A.4.a.6_LV,LV,1.88
196,11-1011.03,1.A.4.a.7_IM,IM,1.0
197,11-1011.03,1.A.4.a.7_LV,LV,0.0
198,11-1011.03,1.A.4.b.1_IM,IM,2.0
199,11-1011.03,1.A.4.b.1_LV,LV,1.5
200,11-1011.03,1.A.4.b.2_IM,IM,1.88
201,11-1011.03,1.A.4.b.2_LV,LV,1.62
202,11-1011.03,1.A.4.b.3_IM,IM,1.12
203,11-1011.03,1.A.4.b.3_LV,LV,0.12
204,11-1011.03,1.A.4.b.4_IM,IM,4.0
205,11-1011.03,1.A.4.b.4_LV,LV,3.62
206,11-1011.03,1.A.4.b.5_IM,IM,4.0
207,11-1011.03,1.A.4.b.5_LV,LV,3.62
208,11-1021.00,1.A.1.a.1_IM,IM,4.0
209,11-1021.00,1.A.1.a.1_LV,LV,4.12
210,11-1021.00,1.A.1.a.2_IM,IM,4.0
211,11-1021.00,1.A.1.a.2_LV,LV,4.0
212,11-1021.00,1.A.1.a.3_IM,IM,4.0
213,11-1021.00,1.A.1.a.3_LV,LV,4.0
214,11-1021.00,1.A.1.a.4_IM,IM,4.0
215,11-1021.00,1.A.1.a.4_LV,LV,4.0
216,11-1021.00,1.A.1.b.1_IM,IM,3.0
217,11-1021.00,1.A.1.b.1_LV,LV,3.25
218,11-1021.00,1.A.1.b.2_IM,IM,3.0
219,11-1021.00,1.A.1.b.2_LV,LV,3.38
220,11-1021.00,1.A.1.b.3_IM,IM,4.0
221,11-1021.00,1.A.1.b.3_LV,LV,3.88
222,11-1021.00,1.A.1.b.4_IM,IM,3.75
223,11-1021.00,1.A.1.b.4_LV,LV,3.75
224,11-1021.00,1.A.1.b.5_IM,IM,3.12
225,11-1021.00,1.A.1.b.5_LV,LV,3.38
226,11-1021.00,1.A.1.b.6_IM,IM,3.5
227,11-1021.00,1.A.1.b.6_LV,LV,3.62
228,11-1021.00,1.A.1.b.7_IM,IM,3.0
229,11-1021.00,1.A.1.b.7_LV,LV,3.0
230,11-1021.00,1.A.1.c.1_IM,IM,2.88
231,11-1021.00,1.A.1.c.1_LV,LV,3.12
232,11-1021.00,1.A.1.c.2_IM,IM,2.75
233,11-1021.00,1.A.1.c.2_LV,LV,2.62
234,11-1021.00,1.A.1.d.1_IM,IM,2.12
235,11-1021.00,1.A.1.d.1_LV,LV,2.25
236,11-1021.00,1.A.1.e.1_IM,IM,2.25
237,11-1021.00,1.A.1.e.1_LV,LV,2.12
238,11-1021.00,1.A.1.e.2_IM,IM,2.75
239,11-1021.00,1.A.1.e.2_LV,LV,2.25
240,11-1021.00,1.A.1.e.3_IM,IM,2.62
241,11-1021.00,1.A.1.e.3_LV,LV,2.25
242,11-1021.00,1.A.1.f.1_IM,IM,1.5
243,11-1021.00,1.A.1.f.1_LV,LV,0.62
244,11-1021.00,1.A.1.f.2_IM,IM,2.75
245,11-1021.00,1.A.1.f.2_LV,LV,2.5
246,11-1021.00,1.A.1.g.1_IM,IM,3.0
247,11-1021.00,1.A.1.g.1_LV,LV,2.88
248,11-1021.00,1.A.1.g.2_IM,IM,2.88
249,11-1021.00,1.A.1.g.2_LV,LV,2.88
250,11-1021.00,1.A.2.a.1_IM,IM,2.0
251,11-1021.00,1.A.2.a.1_LV,LV,1.5
252,11-1021.00,1.A.2.a.2_IM,IM,1.5
253,11-1021.00,1.A.2.a.2_LV,LV,0.75
254,11-1021.00,1.A.2.a.3_IM,IM,1.75
255,11-1021.00,1.A.2.a.3_LV,LV,1.38
256,11-1021.00,1.A.2.b.1_IM,IM,1.75
257,11-1021.00,1.A.2.b.1_LV,LV,1.38
258,11-1021.00,1.A.2.b.2_IM,IM,1.88
259,11-1021.00,1.A.2.b.2_LV,LV,1.5
260,11-1021.00,1.A.2.b.3_IM,IM,1.38
261,11-1021.00,1.A.2.b.3_LV,LV,0.75
262,11-1021.00,1.A.2.b.4_IM,IM,1.75
263,11-1021.00,1.A.2.b.4_LV,LV,1.12
264,11-1021.00,1.A.2.c.1_IM,IM,2.12
265,11-1021.00,1.A.2.c.1_LV,LV,1.75
266,11-1021.00,1.A.2.c.2_IM,IM,1.38
267,11-1021.00,1.A.2.c.2_LV,LV,0.62
268,11-1021.00,1.A.2.c.3_IM,IM,1.5
269,11-1021.00,1.A.2.c.3_LV,LV,0.62
270,11-1021.00,1.A.3.a.1_IM,IM,2.0
271,11-1021.00,1.A.3.a.1_LV,LV,1.75
272,11-1021.00,1.A.3.a.2_IM,IM,1.5
273,11-1021.00,1.A.3.a.2_LV,LV,0.75
274,11-1021.00,1.A.3.a.3_IM,IM,1.62
275,11-1021.00,1.A.3.a.3_LV,LV,0.75
276,11-1021.00,1.A.3.a.4_IM,IM,2.12
277,11-1021.00,1.A.3.a.4_LV,LV,2.12
278,11-1021.00,1.A.3.b.1_IM,IM,2.0
279,11-1021.00,1.A.3.b.1_LV,LV,1.5
280,11-1021.00,1.A.3.c.1_IM,IM,1.38
281,11-1021.00,1.A.3.c.1_LV,LV,0.5
282,11-1021.00,1.A.3.c.2_IM,IM,1.0
283,11-1021.00,1.A.3.c.2_LV,LV,0.0
284,11-1021.00,1.A.3.c.3_IM,IM,1.88
285,11-1021.00,1.A.3.c.3_LV,LV,1.25
286,11-1021.00,1.A.3.c.4_IM,IM,1.5
287,11-1021.00,1.A.3.c.4_LV,LV,0.62
288,11-1021.00,1.A.4.a.1_IM,IM,3.25
289,11-1021.00,1.A.4.a.1_LV,LV,3.25
290,11-1021.00,1.A.4.a.2_IM,IM,2.75
291,11-1021.00,1.A.4.a.2_LV,LV,2.88
292,11-1021.00,1.A.4.a.3_IM,IM,2.0
293,11-1021.00,1.A.4.a.3_LV,LV,2.25
294,11-1021.00,1.A.4.a.4_IM,IM,1.38
295,11-1021.00,1.A.4.a.4_LV,LV,0.5
296,11-1021.00,1.A.4.a.5_IM,IM,1.5
297,11-1021.00,1.A.4.a.5_LV,LV,0.88
298,11-1021.00,1.A.4.a.6_IM,IM,2.0
299,11-1021.00,1.A.4.a.6_LV,LV,1.88
300,11-1021.00,1.A.4.a.7_IM,IM,1.38
301,11-1021.00,1.A.4.a.7_LV,LV,0.38
302,11-1021.00,1.A.4.b.1_IM,IM,2.0
303,11-1021.00,1.A.4.b.1_LV,LV,2.0
304,11-1021.00,1.A.4.b.2_IM,IM,2.12
305,11-1021.00,1.A.4.b.2_LV,LV,2.0
306,11-1021.00,1.A.4.b.3_IM,IM,1.5
307,11-1021.00,1.A.4.b.3_LV,LV,0.62
308,11-1021.00,1.A.4.b.4_IM,IM,3.88
309,11-1021.00,1.A.4.b.4_LV,LV,3.25
310,11-1021.00,1.A.4.b.5_IM,IM,4.0
311,11-1021.00,1.A.4.b.5_LV,LV,3.25
312,11-2011.00,1.A.1.a.1_IM,IM,4.0
313,11-2011.00,1.A.1.a.1_LV,LV,4.38
314,11-2011.00,1.A.1.a.2_IM,IM,4.0
315,11-2011.00,1.A.1.a.2_LV,LV,4.0
316,11-2011.00,1.A.1.a.3_IM,IM,4.25
317,11-2011.00,1.A.1.a.3_LV,LV,4.75
318,11-2011.00,1.A.1.a.4_IM,IM,3.88
319,11-2011.00,1.A.1.a.4_LV,LV,4.0
320,11-2011.00,1.A.1.b.1_IM,IM,3.75
321,11-2011.00,1.A.1.b.1_LV,LV,4.12
322,11-2011.00,1.A.1.b.2_IM,IM,3.75
323,11-2011.00,1.A.1.b.2_LV,LV,3.88
324,11-2011.00,1.A.1.b.3_IM,IM,3.62
325,11-2011.00,1.A.1.b.3_LV,LV,4.0
326,11-2011.00,1.A.1.b.4_IM,IM,3.88
327,11-2011.00,1.A.1.b.4_LV,LV,4.5
328,11-2011.00,1.A.1.b.5_IM,IM,3.5
329,11-2011.00,1.A.1.b.5_LV,LV,3.88
330,11-2011.00,1.A.1.b.6_IM,IM,3.25
331,11-2011.00,1.A.1.b.6_LV,LV,3.75
332,11-2011.00,1.A.1.b.7_IM,IM,3.38
333,11-2011.00,1.A.1.b.7_LV,LV,3.88
334,11-2011.00,1.A.1.c.1_IM,IM,3.0
335,11-2011.00,1.A.1.c.1_LV,LV,3.12
336,11-2011.00,1.A.1.c.2_IM,IM,2.88
337,11-2011.00,1.A.1.c.2_LV,LV,3.12
338,11-2011.00,1.A.1.d.1_IM,IM,2.5
339,11-2011.00,1.A.1.d.1_LV,LV,2.38
340,11-2011.00,1.A.1.e.1_IM,IM,2.62
341,11-2011.00,1.A.1.e.1_LV,LV,2.75
342,11-2011.00,1.A.1.e.2_IM,IM,3.12
343,11-2011.00,1.A.1.e.2_LV,LV,3.12
344,11-2011.00,1.A.1.e.3_IM,IM,2.88
345,11-2011.00,1.A.1.e.3_LV,LV,2.75
346,11-2011.00,1.A.1.f.1_IM,IM,1.0
347,11-2011.00,1.A.1.f.1_LV,LV,0.0
348,11-2011.00,1.A.1.f.2_IM,IM,3.25
349,11-2011.00,1.A.1.f.2_LV,LV,3.12
350,11-2011.00,1.A.1.g.1_IM,IM,2.88
351,11-2011.00,1.A.1.g.1_LV,LV,2.75
352,11-2011.00,1.A.1.g.2_IM,IM,2.75
353,11-2011.00,1.A.1.g.2_LV,LV,2.12
354,11-2011.00,1.A.2.a.1_IM,IM,1.38
355,11-2011.00,1.A.2.a.1_LV,LV,0.5
356,11-2011.00,1.A.2.a.2_IM,IM,1.38
357,11-2011.00,1.A.2.a.2_LV,LV,0.38
358,11-2011.00,1.A.2.a.3_IM,IM,1.62
359,11-2011.00,1.A.2.a.3_LV,LV,1.12
360,11-2011.00,1.A.2.b.1_IM,IM,1.12
361,11-2011.00,1.A.2.b.1_LV,LV,0.12
362,11-2011.00,1.A.2.b.2_IM,IM,1.0
363,11-2011.00,1.A.2.b.2_LV,LV,0.0
364,11-2011.00,1.A.2.b.3_IM,IM,1.0
365,11-2011.00,1.A.2.b.3_LV,LV,0.0
366,11-2011.00,1.A.2.b.4_IM,IM,1.0
367,11-2011.00,1.A.2.b.4_LV,LV,0.0
368,11-2011.00,1.A.2.c.1_IM,IM,1.0
369,11-2011.00,1.A.2.c.1_LV,LV,0.0
370,11-2011.00,1.A.2.c.2_IM,IM,1.75
371,11-2011.00,1.A.2.c.2_LV,LV,0.75
372,11-2011.00,1.A.2.c.3_IM,IM,1.0
373,11-2011.00,1.A.2.c.3_LV,LV,0.0
374,11-2011.00,1.A.3.a.1_IM,IM,1.0
375,11-2011.00,1.A.3.a.1_LV,LV,0.0
376,11-2011.00,1.A.3.a.2_IM,IM,1.0
377,11-2011.00,1.A.3.a.2_LV,LV,0.0
378,11-2011.00,1.A.3.a.3_IM,IM,1.0
379,11-2011.00,1.A.3.a.3_LV,LV,0.0
380,11-2011.00,1.A.3.a.4_IM,IM,1.62
381,11-2011.00,1.A.3.a.4_LV,LV,0.88
382,11-2011.00,1.A.3.b.1_IM,IM,1.0
383,11-2011.00,1.A.3.b.1_LV,LV,0.0
384,11-2011.00,1.A.3.c.1_IM,IM,1.0
385,11-2011.00,1.A.3.c.1_LV,LV,0.0
386,11-2011.00,1.A.3.c.2_IM,IM,1.0
387,11-2011.00,1.A.3.c.2_LV,LV,0.0
388,11-2011.00,1.A.3.c.3_IM,IM,1.0
389,11-2011.00,1.A.3.c.3_LV,LV,0.0
390,11-2011.00,1.A.3.c.4_IM,IM,1.0
391,11-2011.00,1.A.3.c.4_LV,LV,0.0
392,11-2011.00,1.A.4.a.1_IM,IM,3.75
393,11-2011.00,1.A.4.a.1_LV,LV,4.12
394,11-2011.00,1.A.4.a.2_IM,IM,2.88
395,11-2011.00,1.A.4.a.2_LV,LV,3.12
396,11-2011.00,1.A.4.a.3_IM,IM,2.88
397,11-2011.00,1.A.4.a.3_LV,LV,2.75
398,11-2011.00,1.A.4.a.4_IM,IM,1.0
399,11-2011.00,1.A.4.a.4_LV,LV,0.0
400,11-2011.00,1.A.4.a.5_IM,IM,1.0
401,11-2011.00,1.A.4.a.5_LV,LV,0.0
402,11-2011.00,1.A.4.a.6_IM,IM,1.75
403,11-2011.00,1.A.4.a.6_LV,LV,1.0
404,11-2011.00,1.A.4.a.7_IM,IM,1.0
405,11-2011.00,1.A.4.a.7_LV,LV,0.0
406,11-2011.00,1.A.4.b.1_IM,IM,1.75
407,11-2011.00,1.A.4.b.1_LV,LV,1.25
408,11-2011.00,1.A.4.b.2_IM,IM,1.75
409,11-2011.00,1.A.4.b.2_LV,LV,1.25
410,11-2011.00,1.A.4.b.3_IM,IM,1.0
411,11-2011.00,1.A.4.b.3_LV,LV,0.0
412,11-2011.00,1.A.4.b.4_IM,IM,3.88
413,11-2011.00,1.A.4.b.4_LV,LV,4.0
414,11-2011.00,1.A.4.b.5_IM,IM,4.0
415,11-2011.00,1.A.4.b.5_LV,LV,3.88
416,11-2021.00,1.A.1.a.1_IM,IM,4.0
417,11-2021.00,1.A.1.a.1_LV,LV,4.38
418,11-2021.00,1.A.1.a.2_IM,IM,4.0
419,11-2021.00,1.A.1.a.2_LV,LV,4.12
420,11-2021.00,1.A.1.a.3_IM,IM,4.0
421,11-2021.00,1.A.1.a.3_LV,LV,4.12
422,11-2021.00,1.A.1.a.4_IM,IM,3.88
423,11-2021.00,1.A.1.a.4_LV,LV,4.12
424,11-2021.00,1.A.1.b.1_IM,IM,3.75
425,11-2021.00,1.A.1.b.1_LV,LV,4.25
426,11-2021.00,1.A.1.b.2_IM,IM,3.62
427,11-2021.00,1.A.1.b.2_LV,LV,4.0
428,11-2021.00,1.A.1.b.3_IM,IM,3.62
429,11-2021.00,1.A.1.b.3_LV,LV,3.88
430,11-2021.00,1.A.1.b.4_IM,IM,3.88
431,11-2021.00,1.A.1.b.4_LV,LV,4.38
432,11-2021.00,1.A.1.b.5_IM,IM,3.75
433,11-2021.00,1.A.1.b.5_LV,LV,3.88
434,11-2021.00,1.A.1.b.6_IM,IM,3.25
435,11-2021.00,1.A.1.b.6_LV,LV,3.5
436,11-2021.00,1.A.1.b.7_IM,IM,3.25
437,11-2021.00,1.A.1.b.7_LV,LV,3.62
438,11-2021.00,1.A.1.c.1_IM,IM,3.12
439,11-2021.00,1.A.1.c.1_LV,LV,3.62
440,11-2021.00,1.A.1.c.2_IM,IM,3.12
441,11-2021.00,1.A.1.c.2_LV,LV,3.5
442,11-2021.00,1.A.1.d.1_IM,IM,2.62
443,11-2021.00,1.A.1.d.1_LV,LV,3.0
444,11-2021.00,1.A.1.e.1_IM,IM,2.75
445,11-2021.00,1.A.1.e.1_LV,LV,3.0
446,11-2021.00,1.A.1.e.2_IM,IM,3.0
447,11-2021.00,1.A.1.e.2_LV,LV,3.0
448,11-2021.00,1.A.1.e.3_IM,IM,2.75
449,11-2021.00,1.A.1.e.3_LV,LV,2.88
450,11-2021.00,1.A.1.f.1_IM,IM,1.0
451,11-2021.00,1.A.1.f.1_LV,LV,0.0
452,11-2021.00,1.A.1.f.2_IM,IM,3.0
453,11-2021.00,1.A.1.f.2_LV,LV,3.0
454,11-2021.00,1.A.1.g.1_IM,IM,2.88
455,11-2021.00,1.A.1.g.1_LV,LV,2.88
456,11-2021.00,1.A.1.g.2_IM,IM,2.75
457,11-2021.00,1.A.1.g.2_LV,LV,2.62
458,11-2021.00,1.A.2.a.1_IM,IM,1.12
459,11-2021.00,1.A.2.a.1_LV,LV,0.12
460,11-2021.00,1.A.2.a.2_IM,IM,1.0
461,11-2021.00,1.A.2.a.2_LV,LV,0.0
462,11-2021.00,1.A.2.a.3_IM,IM,1.75
463,11-2021.00,1.A.2.a.3_LV,LV,1.25
464,11-2021.00,1.A.2.b.1_IM,IM,1.0
465,11-2021.00,1.A.2.b.1_LV,LV,0.0
466,11-2021.00,1.A.2.b.2_IM,IM,1.0
467,11-2021.00,1.A.2.b.2_LV,LV,0.0
468,11-2021.00,1.A.2.b.3_IM,IM,1.0
469,11-2021.00,1.A.2.b.3_LV,LV,0.0
470,11-2021.00,1.A.2.b.4_IM,IM,1.0
471,11-2021.00,1.A.2.b.4_LV,LV,0.0
472,11-2021.00,1.A.2.c.1_IM,IM,1.0
473,11-2021.00,1.A.2.c.1_LV,LV,0.0
474,11-2021.00,1.A.2.c.2_IM,IM,1.62
475,11-2021.00,1.A.2.c.2_LV,LV,0.75
476,11-2021.00,1.A.2.c.3_IM,IM,1.0
477,11-2021.00,1.A.2.c.3_LV,LV,0.0
478,11-2021.00,1.A.3.a.1_IM,IM,1.0
479,11-2021.00,1.A.3.a.1_LV,LV,0.0
480,11-2021.00,1.A.3.a.2_IM,IM,1.0
481,11-2021.00,1.A.3.a.2_LV,LV,0.0
